,image,caption
0,1000268201_693b08cb0e.jpg,startsen child in pink dress is climbing up set of stairs in an entry way endsen
1,1000268201_693b08cb0e.jpg,startsen girl going into wooden building endsen
2,1000268201_693b08cb0e.jpg,startsen little girl climbing into wooden playhouse endsen
3,1000268201_693b08cb0e.jpg,startsen little girl climbing the stairs to her playhouse endsen
4,1000268201_693b08cb0e.jpg,startsen little girl in pink dress going into wooden cabin endsen
5,1001773457_577c3a7d70.jpg,startsen black dog and spotted dog are fighting endsen
6,1001773457_577c3a7d70.jpg,startsen black dog and tri-colored dog playing with each other on the road endsen
7,1001773457_577c3a7d70.jpg,startsen black dog and white dog with brown spots are staring at each other in the street endsen
8,1001773457_577c3a7d70.jpg,startsen two dogs of different breeds looking at each other on the road endsen
9,1001773457_577c3a7d70.jpg,startsen two dogs on pavement moving toward each other endsen
10,1002674143_1b742ab4b8.jpg,startsen little girl covered in paint sits in front of painted rainbow with her hands in bowl endsen
11,1002674143_1b742ab4b8.jpg,startsen little girl is sitting in front of large painted rainbow endsen
12,1002674143_1b742ab4b8.jpg,startsen small girl in the grass plays with fingerpaints in front of white canvas with rainbow on it endsen
13,1002674143_1b742ab4b8.jpg,startsen there is girl with pigtails sitting in front of rainbow painting endsen
14,1002674143_1b742ab4b8.jpg,startsen young girl with pigtails painting outside in the grass endsen
15,1003163366_44323f5815.jpg,startsen man lays on bench while his dog sits by him endsen
16,1003163366_44323f5815.jpg,startsen man lays on the bench to which white dog is also tied endsen
17,1003163366_44323f5815.jpg,startsen man sleeping on bench outside with white and black dog sitting next to him endsen
18,1003163366_44323f5815.jpg,startsen shirtless man lies on park bench with his dog endsen
19,1003163366_44323f5815.jpg,startsen man laying on bench holding leash of dog sitting on ground endsen
20,1007129816_e794419615.jpg,startsen man in an orange hat starring at something endsen
21,1007129816_e794419615.jpg,startsen man wears an orange hat and glasses endsen
22,1007129816_e794419615.jpg,startsen man with gauges and glasses is wearing blitz hat endsen
23,1007129816_e794419615.jpg,startsen man with glasses is wearing beer can crocheted hat endsen
24,1007129816_e794419615.jpg,startsen the man with pierced ears is wearing glasses and an orange hat endsen
25,1007320043_627395c3d8.jpg,startsen child playing on rope net endsen
26,1007320043_627395c3d8.jpg,startsen little girl climbing on red roping endsen
27,1007320043_627395c3d8.jpg,startsen little girl in pink climbs rope bridge at the park endsen
28,1007320043_627395c3d8.jpg,startsen small child grips onto the red ropes at the playground endsen
29,1007320043_627395c3d8.jpg,startsen the small child climbs on red ropes on playground endsen
30,1009434119_febe49276a.jpg,startsen black and white dog is running in grassy garden surrounded by white fence endsen
31,1009434119_febe49276a.jpg,startsen black and white dog is running through the grass endsen
32,1009434119_febe49276a.jpg,startsen boston terrier is running in the grass endsen
33,1009434119_febe49276a.jpg,startsen boston terrier is running on lush green grass in front of white fence endsen
34,1009434119_febe49276a.jpg,startsen dog runs on the green grass near wooden fence endsen
35,1012212859_01547e3f17.jpg,startsen dog shakes its head near the shore red ball next to it endsen
36,1012212859_01547e3f17.jpg,startsen white dog shakes on the edge of beach with an orange ball endsen
37,1012212859_01547e3f17.jpg,startsen dog with orange ball at feet stands on shore shaking off water endsen
38,1012212859_01547e3f17.jpg,startsen white dog playing with red ball on the shore near the water endsen
39,1012212859_01547e3f17.jpg,startsen white dog with brown ears standing near water with head turned to one side endsen
40,1015118661_980735411b.jpg,startsen boy smiles in front of stony wall in city endsen
41,1015118661_980735411b.jpg,startsen little boy is standing on the street while man in overalls is working on stone wall endsen
42,1015118661_980735411b.jpg,startsen young boy runs aross the street endsen
43,1015118661_980735411b.jpg,startsen young child is walking on stone paved street with metal pole and man behind him endsen
44,1015118661_980735411b.jpg,startsen smiling boy in white shirt and blue jeans in front of rock wall with man in overalls behind him endsen
45,1015584366_dfcec3c85a.jpg,startsen black dog leaps over log endsen
46,1015584366_dfcec3c85a.jpg,startsen grey dog is leaping over fallen tree endsen
47,1015584366_dfcec3c85a.jpg,startsen large black dog leaps fallen log endsen
48,1015584366_dfcec3c85a.jpg,startsen mottled black and grey dog in blue collar jumping over fallen tree endsen
49,1015584366_dfcec3c85a.jpg,startsen the black dog jumped the tree stump endsen
50,101654506_8eb26cfb60.jpg,startsen brown and white dog is running through the snow endsen
51,101654506_8eb26cfb60.jpg,startsen dog is running in the snow endsen
52,101654506_8eb26cfb60.jpg,startsen dog running through snow endsen
53,101654506_8eb26cfb60.jpg,startsen white and brown dog is running through snow covered field endsen
54,101654506_8eb26cfb60.jpg,startsen the white and brown dog is running over the surface of the snow endsen
55,101669240_b2d3e7f17b.jpg,startsen man in hat is displaying pictures next to skier in blue hat endsen
56,101669240_b2d3e7f17b.jpg,startsen man skis past another man displaying paintings in the snow endsen
57,101669240_b2d3e7f17b.jpg,startsen person wearing skis looking at framed pictures set up in the snow endsen
58,101669240_b2d3e7f17b.jpg,startsen skier looks at framed pictures in the snow next to trees endsen
59,101669240_b2d3e7f17b.jpg,startsen man on skis looking at artwork for sale in the snow endsen
60,1016887272_03199f49c4.jpg,startsen collage of one person climbing cliff endsen
61,1016887272_03199f49c4.jpg,startsen group of people are rock climbing on rock climbing wall endsen
62,1016887272_03199f49c4.jpg,startsen group of people climbing rock while one man belays endsen
63,1016887272_03199f49c4.jpg,startsen seven climbers are ascending rock face whilst another man stands holding the rope endsen
64,1016887272_03199f49c4.jpg,startsen several climbers in row are climbing the rock while the man in red watches and holds the line endsen
65,1019077836_6fc9b15408.jpg,startsen brown dog chases the water from sprinkler on lawn endsen
66,1019077836_6fc9b15408.jpg,startsen brown dog plays with the hose endsen
67,1019077836_6fc9b15408.jpg,startsen brown dog running on lawn near garden hose endsen
68,1019077836_6fc9b15408.jpg,startsen dog is playing with hose endsen
69,1019077836_6fc9b15408.jpg,startsen large brown dog running away from the sprinkler in the grass endsen
70,1019604187_d087bf9a5f.jpg,startsen dog prepares to catch thrown object in field with nearby cars endsen
71,1019604187_d087bf9a5f.jpg,startsen white dog is about to catch yellow ball in its mouth endsen
72,1019604187_d087bf9a5f.jpg,startsen white dog is about to catch yellow dog toy endsen
73,1019604187_d087bf9a5f.jpg,startsen white dog is ready to catch yellow ball flying through the air endsen
74,1019604187_d087bf9a5f.jpg,startsen white dog running after yellow ball endsen
75,1020651753_06077ec457.jpg,startsen black and white dog jumping in the air to get toy endsen
76,1020651753_06077ec457.jpg,startsen black and white dog jumps up towards yellow toy endsen
77,1020651753_06077ec457.jpg,startsen dog leaps to catch ball in field endsen
78,1020651753_06077ec457.jpg,startsen white dog is trying to catch ball in midair over grassy field endsen
79,1020651753_06077ec457.jpg,startsen the white dog is playing in green field with yellow toy endsen
80,1022454332_6af2c1449a.jpg,startsen child and woman are at waters edge in big city endsen
81,1022454332_6af2c1449a.jpg,startsen large lake with lone duck swimming in it with several people around the edge of it endsen
82,1022454332_6af2c1449a.jpg,startsen little boy at lake watching duck endsen
83,1022454332_6af2c1449a.jpg,startsen young boy waves his hand at the duck in the water surrounded by green park endsen
84,1022454332_6af2c1449a.jpg,startsen two people are at the edge of lake facing the water and the city skyline endsen
85,1022454428_b6b660a67b.jpg,startsen couple and an infant being held by the male sitting next to pond with near by stroller endsen
86,1022454428_b6b660a67b.jpg,startsen couple sit on the grass with baby and stroller endsen
87,1022454428_b6b660a67b.jpg,startsen couple with their newborn baby sitting under tree facing lake endsen
88,1022454428_b6b660a67b.jpg,startsen man and woman care for an infant along the side of body of water endsen
89,1022454428_b6b660a67b.jpg,startsen couple with baby sit outdoors next to their stroller endsen
90,1022975728_75515238d8.jpg,startsen black dog running in the surf endsen
91,1022975728_75515238d8.jpg,startsen black lab with tags frolicks in the water endsen
92,1022975728_75515238d8.jpg,startsen dog splashes in the water endsen
93,1022975728_75515238d8.jpg,startsen the black dog runs through the water endsen
94,1022975728_75515238d8.jpg,startsen this is black dog splashing in the water endsen
95,102351840_323e3de834.jpg,startsen man drilling hole in the ice endsen
96,102351840_323e3de834.jpg,startsen man is drilling through the frozen ice of pond endsen
97,102351840_323e3de834.jpg,startsen person in the snow drilling hole in the ice endsen
98,102351840_323e3de834.jpg,startsen person standing on frozen lake endsen
99,102351840_323e3de834.jpg,startsen two men are ice fishing endsen
100,1024138940_f1fefbdce1.jpg,startsen two different breeds of brown and white dogs play on the beach endsen
101,1024138940_f1fefbdce1.jpg,startsen two dogs are making turn on soft sand beach endsen
102,1024138940_f1fefbdce1.jpg,startsen two dogs playing in the sand at the beach endsen
